product,date,title,rating,body
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on December 1, 2019",The best in-ear wireless earbuds I have tried at this price point,5.0,"I own several pairs of really high-end (and expensive) headphones and in-ear monitors (IEMs), but have been unable to carry them with me when moving around due to size and weight (and the fear of damage of loss).  Since I tried the original Air Pods I have been looking for wireless IEMs that give me the audio quality I want on the move, with the comfort I need for hours-long listening, and noise cancellation for office hums and buzzes or train noise.  I have about a half dozen wireless earphones I have tried and disliked for one reason or another in my closet, but now I have tried these Sony WF-1000XM3s I am a happy boy!The Sony earpods are available in two colours that I am aware of; I bought the silver because it didn't look as obvious as the black (your mileage may vary).  They come with a charging carry packet that charges with the supplied USB-C cable, a set of six ear pads (plus the two already on the earbuds), and some documentation.  It's a nicely packaged product, and after downloading the free app from the Apple Store,  I started in listening.  The earbuds twist in for a tighter fit, and I had to downsize them after a week's first listening to get a better seal, but the supplied ear tips are soft and easy to swap.  Gestures on the earbuds control functions, which take all of about five minutes to get comfortable with.There's two aspects to these Sony earbuds that stand out for me: audio quality and noise reduction.  The noise reduction is controllable and quite effective, as long as the seal on the ear pads is tight (otherwise noise leaks in, obviously).  As to the audio quality, when commuting or at the office I do most of my listening from satellite radio, or from lossless FLAC files on my iPhone.  Of course, the lossy streaming of satellite radio is not where near the quality of the FLAC files, but both sound really good on the Sony earbuds.  I compared the Sonys to some of my expensive IEMs in my living room, and there, critically listening, the Sony is simply not as good as the IEMs I tried, but keeping in mind the IEMs cost ten times the price of the Sony earbuds, there's nothing embarrassing about that. I also compared these Sonys to my older Apple Air Pod, and like the Sony audio quality much, much more.  I have yet to try the latest generation of Air Pods, so can't speak about them in comparison, but now I won't be buying the Air Pods at all!I am really happy and pleased with these Sony earbuds.  They are not cheap, bvut they are not expensive either (compared to some IEMs on the market).  I use these Sonys almost every day and am delighted with the sound and the battery life.  Definately recommended.Follow-up: I have now compared these Sonys to the new Air Pod and the Sony wins in terms of sound quality by a considerable margin.  Also, to answer peoples questions about fit, the interchangeable tips should allow you to customize the fit for your needs.  I end up using a different size tip in each ear for a perfect fit and to hold them in place when exercising.  I still love these Sonys, and use them far more than my ten-times-the-price IEMs."
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on August 12, 2019",Good,5.0,"The guy who’s freaking out over these I’m the above review isn’t using them right. You double or triple tap to rewind or skip songs, not swipe. For windows computers Sony released a statement somewhere on it. I have them and they are very good coming from AirPods and Bose soundsport frees"
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on October 20, 2019",Sony WF-1000XM3 Noise Canceling Truly Wireless Earbuds (Honest View),4.0,"The Sony WF-1000XM3 Wireless Earbuds my interest originally from all various reviews of the product on both pro's & cons please bare in mind nothing is perfect at launch, unlike other reviewers in a mad panic spat. Let's I guess start with the build quality as you expect in general ear buds are made with a hardened plastic but didn't feel to cheaply manufactured. The charger case or dock, I was impressed from the design sony whet with not as bulky as some brands but not fully compact as the Samsung Galaxy buds. They seemed to have chosen a durable rubber for the outside casing with aluminum for the lid case, I will point out it does seem it could easily be scratched. Another feature which may not concern is the case has no wireless charging just only via USB-C.Now for the overall fit within the ear it's imperfect it's not for everyone since each person is different. And as other reviewers pointed out the earbuds are designed to go deeper in the ear canal. For a sound tight seal to get a better sound signature along with noise isolation. You best options would be to try it for yourself, so far the seal and fit in my ears are alright I haven't tried the other options in ear tips provided. So far they haven't fallen out easily but I were to shake my head like a madman I could see them falling out of my ears. As for the IR sensor build in the earbuds it's useful between removing them in or out of your ears, only seems to pair to my Android device only after I placed them my ears. As for in ear fatigue from listening or watching hours worth of content only a slight hint of fatigue for myself.Sound quality is impressive for these earbuds very similar sound signature to the Sony WH-1000XM3 over ear headphones. I will note there is a slight more bass response not overwhelming, Treble is detailed both singers/ instruments are clear naturally sounding. Mid range sounds are present and balanced and no conflict problems, bass is well done. Not that annoying unnatural buss from beats products uck. I haven't noticed the bass being muddy on either slow or fast paced music. Sony built in chip to improve sound quality on older audio files does help but if you use a music app player you'll have to disable the EQ. Bear in mind the noise cancelling on these earbuds are decent but not as good as the over-ear headset available from Sony. You can still hear your own voice when talking but as first subtle sounds and noises it does a good job. The over-ear headphones from Sony are more aggressive and with cancelling.Bluetooth 5.0 connection's/calling quality.Connection wise I haven't encountered any difficulties yet but I know it could possibly happen if I were to leave my smartphone in a different room. As for call Quality the comments I got from my friends is it's clear when it's in an quiet area but I haven't tried it out in a public space yet say as in traffic as an example. The only complaint I received what's an annoying Buzz Echo but then disappeared after I reset and reconnected the Bluetooth earbuds. Hasn't happened since to date, at this time battery life is fair roughly 5 hours and 26 minutes with N/C turned on. With N/C turned off roughly only gained roughly 18 more additional minutes.Overall opinion give it try for yourself and decide on your own discretion and if you don't like it, return the product after all that's the benefit of Amazon's 30 day return policy unless you damaged the product.ProsSound qualityBuild in featuresPortability compact casedecent noise cancellingUSB CConsNo wireless chargingNo water/sweat resistant not for the gymPossible problems in cold weather TBDSony warranty is different to utilize"
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on October 28, 2019",Best in category,5.0,"These are not your bargain knockoff earbuds.  If price is an issue then move on.  These are by far the best in-ear noise cancelling earbuds on the market.  While they are not up to the noise cancelling found in the over the ear Sony WH1000XM3 they offer a great tradeoff for those seeking greater portability.The sound is fantastic, crisp, deep, and rich .  To get the most out of these make sure you choose the proper sized nibs.  This makes a world of difference in the quality of the user experience."
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on November 7, 2019",Works very good,4.0,"I came to these headphones from a pair of Sure SE215's. Needless to say, my expectations were high as an audiophile.They fit comfortably. They don't have the same memory foam as the Sure's have, but they are very comfortable and they stay in place well. The noice cancelation is scary good. Like I mean it works SO well. The sound and bass is surprisingly good, but the highs get a little distorted by the Noise Cancelation. Also they don't go nearly as loud as the SE215's but with noise cancelation on, you don't need it so loud. The app is amazing and has WAAAAY more customization options that the AirPods. The app is just ....sexy. lolA definite recommendation if you are an audiophile. I didn't even consider the AirPods Pro. It looses a star because of the volume issue."
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on August 15, 2019",Kept falling off,1.0,I tried everything even looked at their tutorial on how to use these but nothing helped. The earphones just kept falling off. Returned the same day.
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on October 19, 2019",Has the potential to be perfect.,4.0,"Almost perfect product. Very sad that some bugs are holding it back. The firt bug that I have discovered is if you enable Google assistant as one of your buttons it will transform your buds to master and slave, what that means is that if you want to listen with only one bud the one with Google assistant will be working, but the other one wont work without the other. So what I ended up doing is just ditching google assistant and going back to the ambient sound control, you can still use google assistant with your phones mic. The second bug that I noticed has to do with automatic power off if buds are left alone for about 5 mins, I found it very buggy, and frustrating, because when you pick the bud back up, and try to use it, it wont work, makes you do all this gimmicky stuff with disconnecting headphones from ur bluetooth settings, waiting, etc. But if you shut them off manually through the app it works seamlessly when you pick them back up they just connect as you would pull them out of the case... I tried to just turn off that automatic shut down, but then you're stuck with flashing blue light even if you have them in your ears... And that brings me to the final point is that these buds dont have that much flexibility specifically with the flashing lights... I understand they're trying to prevent us from losing them in the dark, but thats on us.Anyways overall buds are great, the sound quality is fire, they're very comfortable (for me, ur ears could be different, but I can wear them for the whole day with mild uncomfortabilty at the end of the day). Battery is very good. Case is nice, and slick. They look nice in ears, and equalizer settings do make difference. Just really wish sony invested it better beta testers, found all these bugs in like few hours of listening... Hopefully things I meantioned get fixed soon in the future.Oh and final tip is that I recommend using mesh plugs as they help your ears breath more preventing them to be sweaty. 👍"
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on November 13, 2019",So far awesome,4.0,"I was a bit hesitant picking these up as I've tried a couple different bluetooth wireless sets, Bose being the most expensive, and have been really disappointed. Thus far though these are living up to the hype. I have only had them drop connection once to my phone and haven't had them lose connection with each other at all.Pros:- The sound is fantastic, seriously awesome. For tiny, in-ear headphones the base is great.- They feel secure and comfortable in the ear when fitted properly- The connection to my phone and between each ear pieces has been strong no matter the environment. My other bluetooth headsets struggled to find my phone in my back pocket...not these.- The app works well and is intuitive- Battery life is good- Set-up and use is easyCons:- I don't love the foam or rubber sleeves that come with these. I couldn't manage to find a fit for one of my ears. Luckily I have extra Shure foam sleeves , which are compression based, and once I replaced the sony ones I was good to go.- Getting them to stay powered down in a pocket while outside of their case, is a bit of a pain. They automatically turn off after 5 minutes, except when they don't. If they are in a pocket and you are moving they will stay alive and drain the battery. You can force power them down in the app, yet motion wakes them back up so same issue. It's a minor gripe, yet I don't want to always carry the case so it's an issue for me.- The touch controls are a bit overly sensitive and non-intuitive. It takes some practice to hit them just right.Overall these are hands down the best truly wireless bluetooth headphones I have tried. I am happy with the purchase and have retired my wired bluetooth headphones for these."
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on September 29, 2020",Wanted to like them but they're not for me,2.0,"I gave these an honest try and wanted to like them but I ended up not keeping them.  The deal breaker is the microphone quality: it's horrible.  Call quality is very poor.  Outgoing sound is bad and cuts in and out.  Quite surprised that Sony would sell $300 earbuds with such horrible mics. These earbuds all have much better mics:  Airpods Pro, Galaxy Buds Plus, Galaxy Buds Live.  They were also uncomfortable, protruded out too much and felt like they would fall out.  I tried all the tips in the box.  All no good for me.  Their instructions to insert and twist don't work for my ears. Also, the case is too big compared to what's available.  If you don't care about making audio or video calls and find them comfortable to wear, the sound quality when listening to music is excellent."
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on November 27, 2019",Fails to function as a basic headset,1.0,"It is a shame that Sony has made a product with fancy noise cancelling features, but fails to perform the basic voice call tasks. This headset performs extremely poorly when you are speaking on the phone. The person on the other end cannot hear what you are saying because the headset drops every other word, and the volume of your voice is extremely low. Very disappointed, my $20 wireless earbuds do a better job like this. If you are always on business trips and join Skype meetings all the time, this is definitely not the option for you!"
